id,name,college_id
725,"Undecided - Liberal Arts and Sciences",7
726,"Undecided - Open Option",7
727,Accounting,2
728,Advertising,7
729,"Aerospace Engineering",4
730,"Agricultural Biochemistry",1
731,"Agricultural Business",1
732,"Agricultural Engineering",4
733,"Agricultural Studies",1
734,"Agricultural Systems Technology",1
735,"Agriculture and Life Sciences Education",1
736,"Agriculture and Life Sciences Exploration",1
737,"Agriculture and Society",1
738,Agronomy,1
739,"Animal Ecology",1
740,"Animal Science",1
741,Anthropology,7
742,"Apparel, Merchandising, and Design",6
743,Architecture,3
744,"Art and Design",3
745,"Athletic Training",6
746,Biochemistry,7
747,"Bioinformatics and Computational Biology",7
748,"Biological Pre-Medical Illustration",7
749,"Biological Systems Engineering",4
750,"Biology - AGLS",1
751,"Biology - LAS",7
752,Biophysics,7
753,"Botany (Biology)",7
754,"Business Economics",2
755,"Chemical Engineering",4
756,Chemistry,7
757,"Child, Adult and Family Services",6
758,"Civil Engineering",4
759,"Classical Studies (Interdisciplinary Studies)",7
760,"Communication Studies",7
761,"Community and Regional Planning",3
762,"Computer Engineering",4
763,"Computer Science",7
764,"Construction Engineering",4
765,"Criminology and Criminal Justice (Interdisciplinary Studies)",7
766,"Culinary Science - AGLS",1
767,"Culinary Science - H SCI",6
768,"Dairy Science",7
769,"Dance (Performing Arts)",7
770,Design,3
771,"Design - Fashion (Apparel, Merchandising, and Design)",3
772,"Diet and Exercise - AGLS",1
773,"Diet and Exercise - H SCI",6
774,"Dietetics - AGLS",1
775,"Dietetics - H SCI",6
776,"Early Childcare Education and Programming (non-licensure)",6
777,"Early Childhood Education (teacher licensure)",6
778,"Earth Science",7
779,Economics,7
780,"Education: Agriculture and Life Sciences Education",6
781,"Education: Biology - AGLS",6
782,"Education: Biology - LAS",7
783,"Education: Chemistry",7
784,"Education: Early Childhood Education",6
785,"Education: Earth Science",7
786,"Education: Elementary Education",6
787,"Education: English",7
788,"Education: Family and Consumer Sciences Education and Studies",6
789,"Education: History",7
790,"Education: Kinesiology and Health",6
791,"Education: Mathematics",7
792,"Education: Music",7
793,"Education: Physics",7
794,"Education: Political Science",6
795,"Education: Speech Communication",6
796,"Electrical Engineering",4
797,"Elementary Education",6
798,English,7
799,"Environmental Science - AGLS",1
800,"Environmental Science - LAS",7
801,"Event Management",6
802,"Family & Consumer Sciences Education and Studies",6
803,"Fashion Merchandising (Apparel Merchandising, Design, and Production)",6
804,Finance,2
805,"Financial Counseling and Planning",6
806,"Fine Arts (Integrated Studio Arts)",3
807,"Food Science - AGLS",1
808,"Food Science - H SCI",6
809,Forestry,1
810,"Genetics - AGLS",1
811,"Genetics - LAS",7
812,Geology,7
813,"Global Resource Systems",1
814,"Graphic Design",3
815,History,7
816,Horticulture,1
817,"Hospitality Management",6
818,"Industrial Design",3
819,"Industrial Engineering",4
820,"Industrial Technology",1
821,"Integrated Studio Arts",3
822,"Interior Design",3
823,"Journalism and Mass Communication",7
824,"Kinesiology and Health",6
825,"Kinesiology and Health major (Community and Public Health)",6
826,"Kinesiology and Health major (Exercise Science)",6
827,"Kinesiology and Health major (Physical Education Licensure)",6
828,"Kinesiology and Health major (Pre-Health Professions)",6
829,"Landscape Architecture",3
830,"Latino/a Studies, U.S. Program (Interdisciplinary Studies)",7
831,"Liberal Studies",7
832,Linguistics,7
833,Management,2
834,"Management Information Systems",2
835,Marketing,2
836,"Materials Engineering",4
837,Mathematics,7
838,"Mechanical Engineering",4
839,Meteorology,7
840,Microbiology,1
841,Music,7
842,"Nutritional Science - AGLS",1
843,"Nutritional Science - H SCI",6
844,"Open Option - Undecided",7
845,"Performing Arts",7
846,Philosophy,7
847,"Physical Education (Kinesiology and Health)",7
848,Physics,7
849,"Political Science",7
850,"Pre-Human Medicine",6
851,Pre-Law,6
852,"Preprofessional Health Programs",6
853,Psychology,7
854,"Public Relations",7
855,"Religious Studies",7
856,Sociology,7
857,"Software Engineering",4
858,"Speech Communication",7
859,Statistics,7
860,"Supply Chain Management",2
861,"Technical Communication",7
862,"Theatre (Performing Arts)",7
863,"Veterinary Medicine",8
864,"Women's Studies",7
865,"World Languages and Cultures: French",7
866,"World Languages and Cultures: German",7
867,"World Languages and Cultures: Spanish",7
868,"Zoology (Biology)",7
