id,course_id,courseFor_id,courseSubOf_id
801,6950,6968,NULL
802,6950,6969,NULL
803,6950,6970,NULL
804,6948,6971,NULL
805,6950,6988,NULL
806,6949,6994,NULL
807,7438,6996,NULL
808,6956,7000,NULL
809,7438,7009,NULL
810,7438,7047,NULL
811,7438,7048,NULL
812,7438,7049,NULL
813,7438,7050,NULL
814,7438,7051,NULL
815,7438,7052,NULL
816,7438,7053,NULL
817,7438,7054,NULL
818,7438,7055,NULL
819,7440,7058,NULL
820,7080,7081,NULL
821,5294,7088,NULL
822,5294,7089,NULL
823,5294,7090,NULL
824,8089,7101,NULL
825,841,7102,NULL
826,841,7126,NULL
827,7438,7130,NULL
828,7440,7131,NULL
829,7140,7135,NULL
830,8089,7195,NULL
831,2374,7204,NULL
832,2374,7205,NULL
833,7183,7206,NULL
834,6950,7209,NULL
835,2374,7212,NULL
836,6950,7230,NULL
837,6950,7231,NULL
838,6950,7232,NULL
839,6950,7233,NULL
840,6950,7234,NULL
841,6950,7235,NULL
842,2123,7286,2231
843,2123,7291,2231
844,2123,7293,2231
845,2244,7294,2122
846,7312,7323,NULL
847,7312,7324,NULL
848,7365,7366,NULL
849,7365,7372,NULL
850,7369,7374,NULL
851,5893,7426,NULL
852,7423,7428,NULL
853,7426,7433,NULL
854,5915,7435,NULL
855,7438,7436,NULL
856,7423,7438,NULL
857,7431,7439,NULL
858,7431,7440,NULL
859,7431,7442,NULL
860,7431,7444,NULL
861,7431,7445,NULL
862,7431,7446,NULL
863,7434,7448,NULL
864,7431,7449,NULL
865,7431,7451,NULL
866,7431,7452,NULL
867,7431,7453,NULL
868,7431,7454,NULL
869,7423,7457,NULL
870,7439,7460,NULL
871,7431,7462,NULL
872,7450,7463,NULL
873,7477,7464,NULL
874,7466,7467,NULL
875,7478,7468,NULL
876,7477,7469,NULL
877,7478,7470,NULL
878,7477,7471,NULL
879,7450,7473,NULL
880,7448,7474,NULL
881,7477,7475,NULL
882,1424,7476,NULL
883,7477,7482,NULL
884,7438,7484,NULL
885,7438,7485,NULL
886,2236,7487,NULL
887,7477,7489,NULL
888,7450,7502,NULL
889,5941,7506,NULL
890,4876,7529,NULL
891,7525,7537,NULL
892,7423,7594,NULL
893,5891,7597,NULL
894,5891,7600,NULL
895,5891,7625,NULL
896,7423,7626,NULL
897,7423,7630,NULL
898,7423,7646,NULL
899,6206,7709,NULL
900,6206,7710,NULL
901,1324,7715,NULL
902,7438,7723,NULL
903,3767,7727,NULL
904,3767,7728,NULL
905,7712,7730,NULL
906,1811,7734,NULL
907,7981,7995,NULL
908,6248,7999,NULL
909,8017,8009,NULL
910,3923,8015,NULL
911,1333,8016,NULL
912,8007,8018,NULL
913,3954,8026,NULL
914,8051,8043,NULL
915,8049,8045,NULL
916,8042,8048,NULL
917,8042,8049,NULL
918,8049,8077,NULL
919,8089,8100,NULL
920,8089,8102,NULL
921,5643,8122,NULL
922,7083,48,NULL
923,7083,49,NULL
924,7083,50,NULL
925,3146,125,NULL
926,3136,133,NULL
927,5827,139,NULL
928,6023,146,NULL
929,6028,149,NULL
930,5927,150,NULL
931,1413,419,NULL
932,3991,423,NULL
933,3487,639,NULL
934,4624,743,NULL
935,7995,774,NULL
936,843,896,NULL
937,843,897,NULL
938,843,898,NULL
939,843,899,NULL
940,843,900,NULL
941,2,1011,NULL
942,2,1017,NULL
943,7426,1060,NULL
944,3487,1487,NULL
945,3248,1632,NULL
946,3227,1987,NULL
947,4036,2036,NULL
948,4036,2059,NULL
949,2990,2119,2227
950,2316,2172,2155
951,5925,2176,3062
952,2229,2232,2222
953,4198,2255,2227
954,5915,2258,5911
955,4198,2286,2227
956,2272,2333,2310
957,2272,2334,2310
958,2583,2510,NULL
959,3487,2817,NULL
960,2908,2898,NULL
961,2994,3033,NULL
962,6711,3058,NULL
963,6023,3081,NULL
964,6028,3084,NULL
965,5927,3085,NULL
966,2994,3087,NULL
967,3146,3147,NULL
968,5827,3155,NULL
969,3422,3439,NULL
970,3991,3480,NULL
971,3487,3525,NULL
972,3482,3590,NULL
973,714,3759,NULL
974,1721,3762,NULL
975,1634,3775,NULL
976,1634,3776,NULL
977,4624,3778,NULL
978,714,3800,NULL
979,1634,3829,NULL
980,1634,3830,NULL
981,4198,4125,NULL
982,4198,4132,NULL
983,5489,4531,NULL
984,5489,4532,NULL
985,1413,4533,NULL
986,3422,4582,NULL
987,4624,4643,NULL
988,6998,4703,NULL
989,7450,4916,NULL
990,6998,4951,NULL
991,2316,4958,NULL
992,5925,4962,NULL
993,5302,5301,NULL
994,7083,5305,NULL
995,7083,5306,NULL
996,7083,5308,NULL
997,7083,5325,NULL
998,7083,5326,NULL
999,7083,5327,NULL
1000,5414,5429,NULL
1001,3227,5661,NULL
1002,6979,5753,NULL
1003,5827,5805,NULL
1004,5827,5844,NULL
1005,6700,5848,NULL
1006,2994,5849,NULL
1007,6711,5853,NULL
1008,6707,5856,NULL
1009,5827,5864,NULL
1010,5827,5866,NULL
1011,6700,5869,NULL
1012,2994,5870,NULL
1013,5915,5928,NULL
1014,5925,5955,NULL
1015,5946,5969,NULL
1016,5927,5970,NULL
1017,5966,5995,NULL
1018,5889,6010,NULL
1019,5889,6011,NULL
1020,5827,6091,NULL
1021,6023,6093,NULL
1022,6028,6096,NULL
1023,5927,6097,NULL
1024,6248,6229,NULL
1025,7995,6241,NULL
1026,6640,6653,NULL
1027,3422,6796,NULL
1028,6950,6971,NULL
1029,7083,7088,NULL
1030,7083,7089,NULL
1031,7083,7090,NULL
1032,7370,7374,NULL
1033,7424,7428,NULL
1034,7424,7438,NULL
1035,7438,7439,NULL
1036,7438,7440,NULL
1037,7438,7442,NULL
1038,7438,7444,NULL
1039,7438,7445,NULL
1040,7438,7446,NULL
1041,7450,7448,NULL
1042,7438,7449,NULL
1043,7438,7451,NULL
1044,7438,7452,NULL
1045,7438,7453,NULL
1046,7438,7454,NULL
1047,7424,7457,NULL
1048,7438,7462,NULL
1049,7450,7474,NULL
1050,7526,7537,NULL
1051,4624,7947,NULL
1052,7995,7999,NULL
1053,6028,146,NULL
1054,5927,149,NULL
1055,6502,639,NULL
1056,6502,1487,NULL
1057,1321,1575,NULL
1058,5307,1632,NULL
1059,5643,1987,NULL
1060,5717,2172,2155
1061,2231,2258,5911
1062,2273,2333,2310
1063,2273,2334,2310
1064,6502,2817,NULL
1065,6711,3033,NULL
1066,6028,3081,NULL
1067,5927,3084,NULL
1068,6711,3087,NULL
1069,3428,3439,NULL
1070,6502,3525,NULL
1071,3487,3590,NULL
1072,1321,3842,NULL
1073,1321,3843,NULL
1074,1321,3844,NULL
1075,1321,3845,NULL
1076,1321,3846,NULL
1077,3428,4582,NULL
1078,5717,4958,NULL
1079,5643,5661,NULL
1080,6711,5849,NULL
1081,6711,5870,NULL
1082,2231,5928,NULL
1083,5994,5995,NULL
1084,6028,6093,NULL
1085,5927,6096,NULL
1086,6216,6265,NULL
1087,3428,6796,NULL
1088,6216,6810,NULL
1089,7425,7428,NULL
1090,7425,7438,NULL
1091,7425,7457,NULL
1092,8253,2115,5890
1093,8253,2227,5890
1094,2236,2142,2124
1095,8254,2151,8255
1096,3038,2160,2158
1097,8254,2165,3016
1098,2236,2169,2124
1099,2231,2174,5911
1100,2231,2176,3062
1101,5892,2228,5891
1102,2122,2179,2244
1103,5893,2228,5891
1104,5893,2229,8253
1106,8254,2198,8260
1107,2227,2255,2229
1108,8254,2257,2236
1109,2236,2261,2124
1110,8254,2263,2240
1112,8254,2265,2241
1113,5915,2274,5901
1114,2227,2286,2229
1115,8254,2288,2236
1116,2236,2290,2124
1117,8254,2292,2240
1118,1427,2307,1369
1119,7447,2307,1427
1120,8254,2312,8260
1121,5915,2313,5901
1122,2192,2331,6088
1123,2303,2331,6088
1124,8265,193,8264
1125,8268,1049,8267
1126,8268,1050,8267
